date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:36:47	51983/51983	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20May%202019%2019:19:18%20GMT	http://droitthemes.com/html/filix/index.html	C:/My%20Web%20Sites/filix/droitthemes.com/html/filix/index.html	(from )
08:36:48	127/127	---M--	200	added ('OK')	text/plain	date:Sun,%2019%20Jul%202020%2012:22:59%20GMT	http://droitthemes.com/robots.txt		(from )
08:36:48	2984/2984	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2022:58:22%20GMT	http://droitthemes.com/html/filix/assets/images/favicon.png	C:/My%20Web%20Sites/filix/droitthemes.com/html/filix/assets/images/favicon.png	(from http://droitthemes.com/html/filix/index.html)
08:36:49	159209/159209	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Jan%202019%2006:52:06%20GMT	http://droitthemes.com/html/filix/assets/css/bootstrap.css	C:/My%20Web%20Sites/filix/droitthemes.com/html/filix/assets/css/bootstrap.css	(from http://droitthemes.com/html/filix/index.html)
08:36:49	31000/31000	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Jun%202018%2012:53:12%20GMT	http://droitthemes.com/html/filix/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/filix/droitthemes.com/html/filix/assets/css/font-awesome.min.css	(from http://droitthemes.com/html/filix/index.html)
08:36:49	18387/18387	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Feb%202019%2011:01:16%20GMT	http://droitthemes.com/html/filix/assets/css/font-awesome-animation.min.css	C:/My%20Web%20Sites/filix/droitthemes.com/html/filix/assets/css/font-awesome-animation.min.css	(from http://droitthemes.com/html/filix/index.html)
08:36:50	17168/17168	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Aug%202017%2007:15:56%20GMT	http://droitthemes.com/html/filix/assets/css/themify-icons.css	C:/My%20Web%20Sites/filix/droitthemes.com/html/filix/assets/css/themify-icons.css	(from http://droitthemes.com/html/filix/index.html)
08:36:50	25252/25252	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Feb%202019%2003:50:08%20GMT	http://droitthemes.com/html/filix/assets/css/elegant-icon-style.css	C:/My%20Web%20Sites/filix/droitthemes.com/html/filix/assets/css/elegant-icon-style.css	(from http://droitthemes.com/html/filix/index.html)
08:36:50	1776/1776	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2013:49:28%20GMT	http://droitthemes.com/html/filix/assets/css/slick.css	C:/My%20Web%20Sites/filix/droitthemes.com/html/filix/assets/css/slick.css	(from http://droitthemes.com/html/filix/index.html)
08:36:51	3149/3149	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20May%202019%2018:56:40%20GMT	http://droitthemes.com/html/filix/assets/css/slick-theme.css	C:/My%20Web%20Sites/filix/droitthemes.com/html/filix/assets/css/slick-theme.css	(from http://droitthemes.com/html/filix/index.html)
08:36:51	1138/1138	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202019%2005:54:00%20GMT	http://droitthemes.com/html/filix/assets/css/particle.css	C:/My%20Web%20Sites/filix/droitthemes.com/html/filix/assets/css/particle.css	(from http://droitthemes.com/html/filix/index.html)
